,0
0,2.107307791309884
1,2.107307791309884
2,2.107307791309884
3,2.107307791309884
4,2.107307791309884
5,2.107307791309884
6,2.107307791309884
7,2.107307791309884
8,2.107307791309884
9,2.107307791309884
10,2.107307791309884
11,1.3595063347468144
12,2.107307791309884
13,2.107307791309884
14,1.3595063347468144
15,2.107307791309884
16,2.107307791309884
17,2.107307791309884
18,2.107307791309884
19,1.6011693960978863
20,2.107307791309884
21,2.107307791309884
22,1.328825279673109
23,1.7610975704715544
24,1.328825279673109
25,2.107307791309884
26,1.328825279673109
27,2.107307791309884
28,2.3940529607084335
29,2.1781346495124385
30,2.107307791309884
31,1.7610975704715544
32,2.107307791309884
33,2.3940529607084335
34,2.3940529607084335
35,1.328825279673109
36,2.107307791309884
37,2.107307791309884
38,1.3864191542174453
39,2.2878665441053108
40,2.2878665441053108
41,1.7658617198806816
42,1.6011693960978863
43,1.6011693960978863
44,1.3864191542174453
45,2.2878665441053108
46,1.328825279673109
47,2.3940529607084335
48,1.7610975704715544
49,2.3940529607084335
50,2.107307791309884
51,1.7715199739122245
52,1.6011693960978863
53,1.7658617198806816
54,1.328825279673109
55,1.328825279673109
56,1.3864191542174453
57,1.6011693960978863
58,1.7610975704715544
59,2.107307791309884
60,1.749451246235621
61,1.7658617198806816
62,1.6011693960978863
63,1.6011693960978863
64,1.3864191542174453
65,2.335460064810558
66,1.7610975704715544
67,1.328825279673109
68,1.3864191542174453
69,1.3864191542174453
70,2.107307791309884
71,1.6011693960978863
72,1.3595063347468144
73,2.107307791309884
74,1.7715199739122245
75,1.7658617198806816
76,2.107307791309884
77,1.328825279673109
78,1.7715199739122245
79,1.3595063347468144
80,1.3864191542174453
81,1.3864191542174453
82,1.3864191542174453
83,1.3864191542174453
84,1.6631455299862241
85,1.6631455299862241
86,2.1781346495124385
87,1.3864191542174453
88,1.7715199739122245
89,2.3940529607084335
90,1.6011693960978863
91,2.036592135654094
92,2.909560531309129
93,1.3864191542174453
94,2.2878665441053108
95,1.7715199739122245
96,2.2878665441053108
97,1.7610975704715544
98,1.7715199739122245
99,2.107307791309884
100,1.749451246235621
101,1.328825279673109
102,2.909560531309129
103,2.685204708016764
104,1.328825279673109
105,1.7658617198806816
106,1.6011693960978863
107,1.7715199739122245
108,2.107307791309884
109,2.6649801887577502
110,2.319182701026327
111,2.909560531309129
112,1.7658617198806816
113,2.107307791309884
114,1.946573278786077
115,1.328825279673109
116,1.3864191542174453
117,1.7610975704715544
118,2.335460064810558
119,1.328825279673109
120,1.3117582521557958
121,2.3940529607084335
122,1.7658617198806816
123,2.4534140429654343
124,1.6631455299862241
125,2.1781346495124385
126,1.7610975704715544
127,1.328825279673109
128,1.328825279673109
129,1.328825279673109
130,2.1724772555989267
131,2.1884214784260787
132,1.6011693960978863
133,1.7715199739122245
134,2.335460064810558
135,2.4409369061452573
136,1.328825279673109
137,2.283634533761157
138,1.3595063347468144
139,0.9997029120027816
140,1.6011693960978863
141,2.107307791309884
142,1.7610975704715544
143,2.685204708016764
144,2.036592135654094
145,2.335460064810558
146,1.4605520952659632
147,3.224119869734822
148,1.328825279673109
149,2.2472468202182774
150,1.7658617198806816
151,1.7658617198806816
152,1.7658617198806816
153,2.2472468202182774
154,2.107307791309884
155,2.107307791309884
156,1.6011693960978863
157,2.1724772555989267
158,2.3940529607084335
159,2.3940529607084335
160,1.328825279673109
161,1.328825279673109
162,1.749451246235621
163,2.107307791309884
164,2.685204708016764
165,2.2878665441053108
166,1.4605520952659632
167,2.107307791309884
168,1.328825279673109
169,1.7610975704715544
170,2.6649801887577502
171,1.328825279673109
172,1.7610975704715544
173,1.946573278786077
174,1.6011693960978863
175,1.3864191542174453
176,1.6631455299862241
177,2.4843650463837044
178,3.4093681332536434
179,2.685204708016764
180,2.107307791309884
181,2.2878665441053108
182,2.1724772555989267
183,1.7610975704715544
184,2.107307791309884
185,2.4843650463837044
186,1.749451246235621
187,1.7715199739122245
188,1.6011693960978863
189,2.178119932903209
190,2.107307791309884
191,1.3595063347468144
192,1.4605520952659632
193,1.7610975704715544
194,1.7658617198806816
195,1.939773065167486
196,1.7610975704715544
197,2.107307791309884
198,1.6631455299862241
199,1.7658617198806816
200,1.4605520952659632
201,2.4534140429654343
202,1.939773065167486
203,2.0252908906378515
204,1.8065829254618924
205,1.749451246235621
206,2.2878665441053108
207,1.7610975704715544
208,2.319182701026327
209,1.328825279673109
210,1.7045196692463696
211,1.7610975704715544
212,2.909560531309129
213,2.335460064810558
214,2.0319979572459923
215,2.1781346495124385
216,3.224119869734822
217,2.2472468202182774
218,1.3864191542174453
219,2.4534140429654343
220,1.8502243871160335
221,1.328825279673109
222,1.328825279673109
223,2.0809357872909264
224,2.107307791309884
225,0.9997029120027816
226,2.319182701026327
227,2.1682383322777836
228,2.335460064810558
229,1.328825279673109
230,2.1884214784260787
231,2.4534140429654343
232,1.328825279673109
233,2.178119932903209
234,1.6631455299862241
235,2.1682383322777836
236,1.4605520952659632
237,2.42954872069812
238,1.749451246235621
239,1.328825279673109
240,1.7715199739122245
241,1.8065829254618924
242,2.4534140429654343
243,2.2878665441053108
244,1.328825279673109
245,1.328825279673109
246,1.3864191542174453
247,1.7610975704715544
248,1.328825279673109
249,2.178119932903209
250,1.7610975704715544
251,2.4534140429654343
252,2.3940529607084335
253,2.4534140429654343
254,1.7045196692463696
255,1.7610975704715544
256,1.328825279673109
257,1.3864191542174453
258,2.107307791309884
259,2.1724772555989267
260,2.2031518810261823
261,1.7610975704715544
262,2.335460064810558
263,1.3864191542174453
264,1.6011693960978863
265,2.335460064810558
266,2.0252908906378515
267,1.6011693960978863
268,1.3864191542174453
269,1.6499871469577585
270,2.178119932903209
271,1.8502243871160335
272,2.4534140429654343
273,2.685204708016764
274,1.328825279673109
275,2.2878665441053108
276,3.4093681332536434
277,2.7139217693914017
278,1.7715199739122245
279,1.1755194364258803
280,2.909560531309129
281,1.749451246235621
282,1.328825279673109
283,1.749451246235621
284,1.8528846134736539
285,1.749451246235621
286,2.335460064810558
287,1.939773065167486
288,2.036592135654094
289,2.178119932903209
290,1.8065829254618924
291,2.335460064810558
292,1.749451246235621
293,2.178119932903209
294,1.968370996041474
295,2.319182701026327
296,1.7715199739122245
297,1.946573278786077
298,1.6011693960978863
299,1.6631455299862241
300,1.7610975704715544
301,1.6011693960978863
302,1.7715199739122245
303,1.927528248438882
